order_detail_id,order_date,product_id,customer_id,territory_id,sales_order_number,sales_order_line_number,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah
SO43698-1,2016-07-01,346,28389,7,SO43698,1,1,47599860,47599860,26770161.6,1189997.2
SO43704-1,2016-07-02,351,11005,9,SO43704,1,1,47249860,47249860,26573321.6,1181247.2
SO43705-1,2016-07-02,344,11011,9,SO43705,1,1,47599860,47599860,26770161.6,1189997.2
SO43713-1,2016-07-05,310,27601,4,SO43713,1,1,50095780,50095780,30398118.8,1252395.2
SO43714-1,2016-07-05,311,13591,10,SO43714,1,1,50095780,50095780,30398118.8,1252395.2
SO43719-1,2016-07-06,312,27612,4,SO43719,1,1,50095780,50095780,30398118.8,1252395.2
SO43720-1,2016-07-06,311,13264,8,SO43720,1,1,50095780,50095780,30398118.8,1252395.2
SO43721-1,2016-07-06,310,13590,10,SO43721,1,1,50095780,50095780,30398118.8,1252395.2
SO43725-1,2016-07-08,311,13258,8,SO43725,1,1,50095780,50095780,30398118.8,1252395.2
SO43728-1,2016-07-09,313,27666,4,SO43728,1,1,50095780,50095780,30398118.8,1252395.2
SO43729-1,2016-07-09,346,11238,10,SO43729,1,1,47599860,47599860,26770161.6,1189997.2
SO43730-1,2016-07-09,346,25861,4,SO43730,1,1,47599860,47599860,26770161.6,1189997.2
SO43732-1,2016-07-09,350,11025,9,SO43732,1,1,47249860,47249860,26573321.6,1181247.2
SO43733-1,2016-07-09,312,27577,1,SO43733,1,1,50095780,50095780,30398118.8,1252395.2
SO43734-1,2016-07-10,312,27604,1,SO43734,1,1,50095780,50095780,30398118.8,1252395.2
SO43736-1,2016-07-10,346,11002,9,SO43736,1,1,47599860,47599860,26770161.6,1189997.2
SO43737-1,2016-07-11,311,13261,8,SO43737,1,1,50095780,50095780,30398118.8,1252395.2
SO43743-1,2016-07-12,347,11007,9,SO43743,1,1,47599860,47599860,26770161.6,1189997.2
SO43752-1,2016-07-14,311,13265,8,SO43752,1,1,50095780,50095780,30398118.8,1252395.2
SO43757-1,2016-07-15,350,11017,9,SO43757,1,1,47249860,47249860,26573321.6,1181247.2
SO43759-1,2016-07-16,310,13257,8,SO43759,1,1,50095780,50095780,30398118.8,1252395.2
SO43762-1,2016-07-17,314,27578,4,SO43762,1,1,50095780,50095780,30398118.8,1252395.2
SO43765-1,2016-07-17,346,11010,9,SO43765,1,1,47599860,47599860,26770161.6,1189997.2
SO43767-1,2016-07-18,350,11001,9,SO43767,1,1,47249860,47249860,26573321.6,1181247.2
SO43768-1,2016-07-19,312,27649,1,SO43768,1,1,50095780,50095780,30398118.8,1252395.2
SO43770-1,2016-07-19,312,27614,1,SO43770,1,1,50095780,50095780,30398118.8,1252395.2
SO43775-1,2016-07-19,347,11027,9,SO43775,1,1,47599860,47599860,26770161.6,1189997.2
SO43776-1,2016-07-20,314,13260,8,SO43776,1,1,50095780,50095780,30398118.8,1252395.2
SO43778-1,2016-07-20,345,11018,9,SO43778,1,1,47599860,47599860,26770161.6,1189997.2
SO43787-1,2016-07-22,344,29385,8,SO43787,1,1,47599860,47599860,26770161.6,1189997.2
SO43788-1,2016-07-22,351,11239,10,SO43788,1,1,47249860,47249860,26573321.6,1181247.2
SO43790-1,2016-07-22,344,25857,1,SO43790,1,1,47599860,47599860,26770161.6,1189997.2
SO43793-1,2016-07-22,344,11000,9,SO43793,1,1,47599860,47599860,26770161.6,1189997.2
SO43794-1,2016-07-22,347,11029,9,SO43794,1,1,47599860,47599860,26770161.6,1189997.2
SO43804-1,2016-07-25,310,13585,10,SO43804,1,1,50095780,50095780,30398118.8,1252395.2
SO43808-1,2016-07-26,313,13259,8,SO43808,1,1,50095780,50095780,30398118.8,1252395.2
SO43810-1,2016-07-26,345,11004,9,SO43810,1,1,47599860,47599860,26770161.6,1189997.2
SO43811-1,2016-07-26,346,11026,9,SO43811,1,1,47599860,47599860,26770161.6,1189997.2
SO43813-1,2016-07-27,350,28390,7,SO43813,1,1,47249860,47249860,26573321.6,1181247.2
SO43819-1,2016-07-27,346,11006,9,SO43819,1,1,47599860,47599860,26770161.6,1189997.2
SO43826-1,2016-07-28,348,11008,9,SO43826,1,1,47249860,47249860,26573321.6,1181247.2
SO43828-1,2016-07-29,310,27605,1,SO43828,1,1,50095780,50095780,30398118.8,1252395.2
SO43829-1,2016-07-29,310,27611,4,SO43829,1,1,50095780,50095780,30398118.8,1252395.2
SO43831-1,2016-07-29,349,11028,9,SO43831,1,1,47249860,47249860,26573321.6,1181247.2
SO43832-1,2016-07-29,310,13584,10,SO43832,1,1,50095780,50095780,30398118.8,1252395.2
SO43835-1,2016-07-30,348,19802,6,SO43835,1,1,47249860,47249860,26573321.6,1181247.2
SO43836-1,2016-07-30,324,26620,6,SO43836,1,1,9787374.8,9787374.8,5784048.2,244685
SO43837-1,2016-07-30,350,11009,9,SO43837,1,1,47249860,47249860,26573321.6,1181247.2
SO43839-1,2016-07-31,311,27673,1,SO43839,1,1,50095780,50095780,30398118.8,1252395.2
SO43841-1,2016-07-31,314,13406,8,SO43841,1,1,50095780,50095780,30398118.8,1252395.2
